id,region,name,category,url,axfr_domain,axfr_nameservers,has_axfr
5,Baden-Württemberg,U Konstanz,Public,www.uni-konstanz.de,uni-konstanz.de,[],False
3,Baden-Württemberg,U Hohenheim,Public,www.uni-hohenheim.de,uni-hohenheim.de,[],False
6,Baden-Württemberg,U Stuttgart,Public,www.uni-stuttgart.de,uni-stuttgart.de,[],False
7,Baden-Württemberg,U Tübingen,Public,www.uni-tuebingen.de,uni-tuebingen.de,[],False
2,Baden-Württemberg,U Heidelberg in Heidelberg,Public,www.uni-heidelberg.de,uni-heidelberg.de,[],False
8,Baden-Württemberg,U Ulm,Public,www.uni-ulm.de,uni-ulm.de,[],False
10,Baden-Württemberg,"Freie Hochschule Stuttgart, Seminar für Waldorfpädagogik (U)",Private,www.freie-hochschule-stuttgart.de,freie-hochschule-stuttgart.de,[],False
4,Baden-Württemberg,Karlsruher Institut für Technologie (KIT) - Bereich Hochschule (U),Public,www.kit.edu,kit.edu,[],False
9,Baden-Württemberg,Zeppelin Universität Friedrichshafen (U),Private,www.zu.de,zu.de,[],False
11,Bayern,U Augsburg,Public,www.uni-augsburg.de,uni-augsburg.de,[],False
12,Bayern,U Bamberg,Public,www.uni-bamberg.de,uni-bamberg.de,[],False
14,Bayern,Kath. U Eichstätt-Ingolstadt in Ingolstadt (U),Private,www.ku.de,ku.de,[],False
13,Bayern,U Bayreuth,Public,www.uni-bayreuth.de,uni-bayreuth.de,[],False
16,Bayern,U München,Public,www.lmu.de,lmu.de,[],False
17,Bayern,TU München,Public,www.tum.de,tum.de,[],False
15,Bayern,U Erlangen-Nürnberg in Erlangen,Public,www.fau.de,fau.de,[],False
20,Bayern,U Würzburg,Public,www.uni-wuerzburg.de,uni-wuerzburg.de,[],False
19,Bayern,U Regensburg,Public,www.uni-regensburg.de,uni-regensburg.de,[],False
18,Bayern,U Passau,Public,www.uni-passau.de,uni-passau.de,[],False
22,Berlin,TU Berlin,Public,www.tu.berlin,tu.berlin,[],False
24,Berlin,ESCP Europe Wirtschaftshochschule Berlin (U),Private,www.escp.eu,escp.eu,[],False
1,Baden-Württemberg,U Freiburg i.Br.,Public,www.uni-freiburg.de,uni-freiburg.de,[],False
27,Berlin,"Bard College Berlin, A Liberal Arts University (U)",Private,www.berlin.bard.edu,bard.edu,[],False
23,Berlin,Humboldt-Universität Berlin,Public,www.hu-berlin.de,hu-berlin.de,[],False
21,Berlin,FU Berlin,Public,www.fu-berlin.de,fu-berlin.de,[],False
26,Berlin,Psychologische Hochschule Berlin (U),Private,www.psychologische-hochschule.de,psychologische-hochschule.de,[],False
29,Brandenburg,Europa-U Viadrina Frankfurt (Oder),Public,www.europa-uni.de,europa-uni.de,[],False
30,Brandenburg,U Potsdam,Public,www.uni-potsdam.de,uni-potsdam.de,[],False
31,Brandenburg,Medizinische Hochschule Brandenburg in Neuruppin (U),Private,www.mhb-fontane.de,mhb-fontane.de,[],False
32,Brandenburg,Filmuniversität Babelsberg,Public,www.filmuniversitaet.de,filmuniversitaet.de,['195.37.64.2'],True
25,Berlin,International Psychoanalytic University Berlin (U),Private,www.ipu-berlin.de,ipu-berlin.de,[],False
34,Bremen,Jacobs University Bremen (U),Private,www.jacobs-university.de,jacobs-university.de,['81.169.212.166'],True
38,Hamburg,Bucerius Law School Hamburg (U),Private,www.law-school.de,law-school.de,[],False
39,Hamburg,KLU Kühne Logistics University (U),Private,www.the-klu.org,the-klu.org,[],False
36,Hamburg,Technische Universität Hamburg,Public,www.tuhh.de,tuhh.de,[],False
35,Hamburg,U Hamburg,Public,www.uni-hamburg.de,uni-hamburg.de,[],False
37,Hamburg,Hafencity Universität Hamburg,Public,www.hcu-hamburg.de,hcu-hamburg.de,[],False
41,Hessen,U Frankfurt a.M.,Public,www.uni-frankfurt.de,uni-frankfurt.de,[],False
42,Hessen,U Gießen,Public,www.uni-giessen.de,uni-giessen.de,[],False
40,Hessen,TU Darmstadt,Public,www.tu-darmstadt.de,tu-darmstadt.de,[],False
45,Hessen,Frankfurt School of Finance & Management-HfB (U),Private,www.frankfurt-school.de,frankfurt-school.de,[],False
47,Mecklenburg-Vorpommern,U Greifswald,Public,www.uni-greifswald.de,uni-greifswald.de,[],False
46,Hessen,EBS U für Wirtschaft und Recht in Wiesbaden (U),Private,www.ebs.edu,ebs.edu,[],False
44,Hessen,U Marburg,Public,www.uni-marburg.de,uni-marburg.de,[],False
49,Niedersachsen,TU Braunschweig,Public,www.tu-braunschweig.de,tu-braunschweig.de,[],False
48,Mecklenburg-Vorpommern,U Rostock,Public,www.uni-rostock.de,uni-rostock.de,[],False
51,Niedersachsen,U Göttingen,Public,www.uni-goettingen.de,uni-goettingen.de,[],False
52,Niedersachsen,U Hannover,Public,www.uni-hannover.de,uni-hannover.de,[],False
50,Niedersachsen,TU Clausthal,Public,www.tu-clausthal.de,tu-clausthal.de,[],False
54,Niedersachsen,U Hildesheim,Public,www.uni-hildesheim.de,uni-hildesheim.de,[],False
53,Niedersachsen,Tierärztliche H Hannover (U),Public,www.tiho-hannover.de,tiho-hannover.de,[],False
55,Niedersachsen,U Lüneburg,Public,www.leuphana.de,leuphana.de,[],False
56,Niedersachsen,U Oldenburg,Public,www.uol.de,uol.de,[],False
57,Niedersachsen,U Osnabrück,Public,www.uni-osnabrueck.de,uni-osnabrueck.de,[],False
58,Niedersachsen,Universität Vechta,Public,www.uni-vechta.de,uni-vechta.de,[],False
59,Nordrhein-Westfalen,TH Aachen (U),Public,www.rwth-aachen.de,rwth-aachen.de,[],False
60,Nordrhein-Westfalen,U Bielefeld,Public,www.uni-bielefeld.de,uni-bielefeld.de,[],False
61,Nordrhein-Westfalen,U Bochum,Public,www.ruhr-uni-bochum.de,ruhr-uni-bochum.de,[],False
62,Nordrhein-Westfalen,U Bonn,Public,www.uni-bonn.de,uni-bonn.de,[],False
63,Nordrhein-Westfalen,TU Dortmund,Public,www.tu-dortmund.de,tu-dortmund.de,[],False
65,Nordrhein-Westfalen,Fernuniversität Hagen,Public,www.fernuni-hagen.de,fernuni-hagen.de,[],False
66,Nordrhein-Westfalen,U Köln,Public,uni-koeln.de,uni-koeln.de,[],False
64,Nordrhein-Westfalen,U Düsseldorf,Public,www.hhu.de,hhu.de,[],False
67,Nordrhein-Westfalen,Deutsche Sporthochschule Köln (U),Public,www.dshs-koeln.de,dshs-koeln.de,[],False
68,Nordrhein-Westfalen,U Münster,Public,www.uni-muenster.de,uni-muenster.de,[],False
72,Nordrhein-Westfalen,Universität Witten-Herdecke (U),Private,www.uni-wh.de,uni-wh.de,[],False
33,Bremen,U Bremen,Public,www.uni-bremen.de,uni-bremen.de,[],False
70,Nordrhein-Westfalen,U Siegen,Public,www.uni-siegen.de,uni-siegen.de,[],False
73,Rheinland-Pfalz,U Mainz in Mainz,Public,www.uni-mainz.de,uni-mainz.de,[],False
71,Nordrhein-Westfalen,U Wuppertal,Public,www.uni-wuppertal.de,uni-wuppertal.de,[],False
76,Rheinland-Pfalz,"Wissenschaftliche H für Unternehmensführung, Vallendar (U)",Private,www.whu.edu,whu.edu,[],False
75,Rheinland-Pfalz,U Trier,Public,www.uni-trier.de,uni-trier.de,[],False
74,Rheinland-Pfalz,Deutsche Universität für Verwaltungswissenschaften Speyer,Public,www.uni-speyer.de,uni-speyer.de,[],False
69,Nordrhein-Westfalen,U Paderborn,Public,www.uni-paderborn.de,uni-paderborn.de,[],False
78,Sachsen,TU Chemnitz,Public,www.tu-chemnitz.de,tu-chemnitz.de,[],False
77,Saarland,U des Saarlandes Saarbrücken in Saarbrücken,Public,www.uni-saarland.de,uni-saarland.de,[],False
79,Sachsen,TU Dresden in Dresden,Public,tu-dresden.de,tu-dresden.de,[],False
83,Sachsen,HHL Leipzig Graduate School of Management (U),Private,www.hhl.de,hhl.de,[],False
81,Sachsen,U Leipzig,Public,www.uni-leipzig.de,uni-leipzig.de,[],False
80,Sachsen,TU Bergakademie Freiberg,Public,tu-freiberg.de,tu-freiberg.de,[],False
82,Sachsen,DIU-Dresden International University (U),Private,www.di-uni.de,di-uni.de,[],False
84,Sachsen-Anhalt,U Halle in Halle,Public,www.uni-halle.de,uni-halle.de,[],False
85,Sachsen-Anhalt,U Magdeburg,Public,www.ovgu.de,ovgu.de,[],False
88,Schleswig-Holstein,U Lübeck,Public,www.uni-luebeck.de,uni-luebeck.de,[],False
86,Schleswig-Holstein,EUF Europa-Universität Flensburg,Public,www.uni-flensburg.de,uni-flensburg.de,[],False
89,Thüringen,U Erfurt,Public,www.uni-erfurt.de,uni-erfurt.de,[],False
87,Schleswig-Holstein,U Kiel,Public,www.uni-kiel.de,uni-kiel.de,[],False
93,Hessen,Evangelische Hochschule Tabor in Marburg (Theol. H),Private,www.eh-tabor.de,eh-tabor.de,[],False
90,Thüringen,TU Ilmenau,Public,www.tu-ilmenau.de,tu-ilmenau.de,[],False
94,Nordrhein-Westfalen,Kirchliche Hochschule Wuppertal / Bethel in Bethel (Theol. H),Private,www.kiho-wuppertal.de,kiho-wuppertal.de,[],False
95,Baden-Württemberg,Staatl. H für Musik Freiburg i.Br. (Kunst-H),Public,www.mh-freiburg.de,mh-freiburg.de,[],False
92,Thüringen,Bauhaus-U Weimar,Public,www.uni-weimar.de,uni-weimar.de,[],False
96,Baden-Württemberg,Staatl. Akademie der Bildenden Künste Karlsruhe (Kunst-H),Public,www.kunstakademie-karlsruhe.de,kunstakademie-karlsruhe.de,[],False
97,Baden-Württemberg,Staatl. H für Gestaltung Karlsruhe (Kunst-H),Public,www.hfg-karlsruhe.de,hfg-karlsruhe.de,[],False
98,Baden-Württemberg,Staatl. H für Musik Karlsruhe (Kunst-H),Public,www.hfm-karlsruhe.de,hfm-karlsruhe.de,[],False
99,Baden-Württemberg,Staatl. H für Musik und Darstellende Kunst Mannheim (Kunst-H),Public,www.muho-mannheim.de,muho-mannheim.de,[],False
103,Bayern,Akademie der Bildenden Künste München (Kunst-H),Public,www.adbk.de,adbk.de,[],False
101,Baden-Württemberg,Staatl. H für Musik und Darstellende Kunst Stuttgart (Kunst-H),Public,www.hmdk-stuttgart.de,hmdk-stuttgart.de,[],False
104,Bayern,Akademie der Bildenden Künste Nürnberg (Kunst-H),Public,www.adbk-nuernberg.de,adbk-nuernberg.de,[],False
106,Bayern,H für Musik Würzburg (Kunst-H),Public,www.hfm-wuerzburg.de,hfm-wuerzburg.de,[],False
107,Bayern,Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern,Private,www.hfk-bayreuth.de,hfk-bayreuth.de,[],False
105,Bayern,H für Musik Nürnberg (Kunst-H),Public,www.hfm-nuernberg.de,hfm-nuernberg.de,[],False
102,Baden-Württemberg,Staatl. H für Musik Trossingen (Kunst-H),Public,www.hfm-trossingen.de,hfm-trossingen.de,[],False
108,Bayern,"H für kath. Kirchenmusik und Musikpädagogik, Regensburg (Kunst-H)",Private,www.hfkm-regensburg.de,hfkm-regensburg.de,[],False
110,Berlin,Weißensee Kunsthochschule Berlin (Kunst-H),Public,www.kh-berlin.de,kh-berlin.de,[],False
109,Berlin,U der Künste Berlin (Kunst-H),Public,www.udk-berlin.de,udk-berlin.de,[],False
112,Berlin,H für Schauspielkunst Berlin (Kunst-H),Public,www.hfs-berlin.de,hfs-berlin.de,[],False
111,Berlin,H für Musik Berlin (Kunst-H),Public,www.hfm-berlin.de,hfm-berlin.de,[],False
116,Hessen,H für Bildende Künste - Städelschule Frankfurt a.M. (Kunst-H),Public,www.staedelschule.de,staedelschule.de,[],False
113,Berlin,Barenboim-Said Akademie Berlin (Kunst-H),Private,www.barenboimsaid.de,barenboimsaid.de,[],False
114,Bremen,H für Künste Bremen (Kunst-H),Public,www.hfk-bremen.de,hfk-bremen.de,[],False
43,Hessen,U Kassel in Kassel,Public,www.uni-kassel.de,uni-kassel.de,[],False
117,Hessen,H für Musik und Darstellende Kunst Frankfurt a.M. (Kunst-H),Public,www.hfmdk-frankfurt.de,hfmdk-frankfurt.de,[],False
118,Hessen,H für Gestaltung Offenbach (Kunst-H),Public,www.hfg-offenbach.de,hfg-offenbach.de,[],False
121,Niedersachsen,"Hochschule für Musik, Theater und Medien Hannover (Kunst-H)",Public,www.hmtm-hannover.de,hmtm-hannover.de,[],False
120,Niedersachsen,H für Bildende Künste Braunschweig (Kunst-H),Public,www.hbk-bs.de,hbk-bs.de,[],False
119,Mecklenburg-Vorpommern,H für Musik und Theater Rostock (Kunst-H),Public,www.hmt-rostock.de,hmt-rostock.de,[],False
122,Nordrhein-Westfalen,H für Musik Detmold (Kunst-H),Public,www.hfm-detmold.de,hfm-detmold.de,[],False
123,Nordrhein-Westfalen,Kunstakademie Düsseldorf (Kunst-H),Public,www.kunstakademie-duesseldorf.de,kunstakademie-duesseldorf.de,[],False
91,Thüringen,U Jena,Public,www.uni-jena.de,uni-jena.de,[],False
125,Nordrhein-Westfalen,Folkwang U der Künste Essen in Bochum (Kunst-H),Public,www.folkwang-uni.de,folkwang-uni.de,[],False
126,Nordrhein-Westfalen,KH für Medien Köln (Kunst-H),Public,www.khm.de,khm.de,[],False
129,Nordrhein-Westfalen,Alanus H Alfter (Kunst-H),Private,www.alanus.edu,alanus.edu,[],False
124,Nordrhein-Westfalen,Robert-Schumann-H Düsseldorf (Kunst-H),Public,www.rsh-duesseldorf.de,rsh-duesseldorf.de,[],False
130,Nordrhein-Westfalen,Hochschule der bildenden Künste (HBK) Essen (Kunst-H),Private,Www.hbk-essen.de,hbk-essen.de,[],False
127,Nordrhein-Westfalen,H für Musik und Tanz Köln,Public,www.hfmt-koeln.de,hfmt-koeln.de,[],False
128,Nordrhein-Westfalen,Kunstakademie Münster (Kunst-H),Public,www.kunstakademie-muenster.de,kunstakademie-muenster.de,[],False
132,Sachsen,H für Bildende Künste Dresden (Kunst-H),Public,www.hfbk-dresden.de,hfbk-dresden.de,[],False
100,Baden-Württemberg,Staatl. Akademie der Bildenden Künste Stuttgart (Kunst-H),Public,www.abk-stuttgart.de,abk-stuttgart.de,[],False
135,Sachsen,Palucca Hochschule für Tanz Dresden (Kunst-H),Public,www.palucca.eu,palucca.eu,[],False
131,Saarland,H der Bildenden Künste Saarbrücken (Kunst-H),Public,www.hbksaar.de,hbksaar.de,[],False
134,Sachsen,H für Musik Dresden (Kunst-H),Public,www.hfmdd.de,hfmdd.de,[],False
133,Sachsen,"H für Kirchenmusik der Evang.-Luth. Landeskirche Sachsens, Dresden (Kunst-H)",Private,www.kirchenmusik-dresden.de,kirchenmusik-dresden.de,[],False
28,Brandenburg,Brandenburgische TU Cottbus-Senftenberg,Public,www.b-tu.de,b-tu.de,[],False
138,Sachsen-Anhalt,Burg Giebichenstein Kunsthochschule Halle (Kunst-H),Public,www.burg-halle.de,burg-halle.de,[],False
137,Sachsen,H für Musik und Theater Leipzig (Kunst-H),Public,www.hmt-leipzig.de,hmt-leipzig.de,[],False
136,Sachsen,H für Graphik und Buchkunst Leipzig (Kunst-H),Public,www.hgb-leipzig.de,hgb-leipzig.de,[],False
141,Schleswig-Holstein,Musikhochschule Lübeck (Kunst-H),Public,www.mh-luebeck.de,mh-luebeck.de,[],False
140,Schleswig-Holstein,Muthesius Kunsthochschule Kiel (Kunst-H),Public,www.muthesius-kunsthochschule.de,muthesius-kunsthochschule.de,[],False
139,Sachsen-Anhalt,Evang. H für Kirchenmusik Halle (Kunst-H),Private,www.ehk-halle.de,ehk-halle.de,[],False
143,Baden-Württemberg,Hochschule Aalen - Technik und Wirtschaft in Aalen (FH),Public,www.hs-aalen.de,hs-aalen.de,[],False
146,Baden-Württemberg,H Esslingen in Esslingen (FH),Public,www.hs-esslingen.de,hs-esslingen.de,[],False
147,Baden-Württemberg,H Furtwangen in Furtwangen (FH),Public,www.hs-furtwangen.de,hs-furtwangen.de,[],False
144,Baden-Württemberg,H Albstadt-Sigmaringen in Albstadt (FH),Public,www.hs-albsig.de,hs-albsig.de,[],False
142,Thüringen,H für Musik Weimar (Kunst-H),Public,www.hfm-weimar.de,hfm-weimar.de,[],False
151,Baden-Württemberg,H Mannheim (FH),Public,www.hs-mannheim.de,hs-mannheim.de,[],False
150,Baden-Württemberg,H Konstanz (FH),Public,www.htwg-konstanz.de,htwg-konstanz.de,[],False
149,Baden-Württemberg,H Karlsruhe (FH),Public,www.h-ka.de,h-ka.de,[],False
153,Baden-Württemberg,H Offenburg (FH),Public,www.hs-offenburg.de,hs-offenburg.de,[],False
157,Baden-Württemberg,H für Forstwirtschaft Rottenburg (FH),Public,www.hs-rottenburg.net,hs-rottenburg.net,[],False
154,Baden-Württemberg,H Pforzheim (FH),Public,www.hs-pforzheim.de,hs-pforzheim.de,[],False
156,Baden-Württemberg,H für Technik und Wirtschaft Reutlingen (FH),Public,www.reutlingen-university.de,reutlingen-university.de,[],False
155,Baden-Württemberg,H Ravensburg-Weingarten (FH),Public,www.rwu.de,rwu.de,[],False
161,Baden-Württemberg,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Stuttgart (FH)",Private,www.macromedia-fachhochschule.de,macromedia-fachhochschule.de,[],False
158,Baden-Württemberg,H für Gestaltung Schwäbisch Gmünd (FH),Public,www.hfg-gmuend.de,hfg-gmuend.de,[],False
159,Baden-Württemberg,"FH Stuttgart, H der Medien",Public,www.hdm-stuttgart.de,hdm-stuttgart.de,[],False
160,Baden-Württemberg,Hochschule für Technik Stuttgart,Public,www.hft-stuttgart.de,hft-stuttgart.de,[],False
163,Baden-Württemberg,Hochschule der Wirtschaft für Management (HdWM) Mannheim (FH),Private,www.hdwm.de,hdwm.de,[],False
162,Baden-Württemberg,"Karlshochschule International University, Karlsruhe (FH)",Private,www.karlshochschule.de,karlshochschule.de,[],False
164,Baden-Württemberg,Hochschule für Kommunikation und Gestaltung in Stuttgart (FH),Private,www.hfk-bw.de,hfk-bw.de,[],False
166,Baden-Württemberg,"SRH Fernhochschule, Riedlingen (FH)",Private,www.mobile-university.de,mobile-university.de,[],False
165,Baden-Württemberg,Hochschule Fresenius Heidelberg (FH),Private,www.hs-fresenius.de,hs-fresenius.de,[],False
167,Baden-Württemberg,VWA-Hochschule für berufsbegleitendes Studium Stuttgart in Freiburg (FH),Private,www.vwa-hochschule.de,vwa-hochschule.de,[],False
169,Baden-Württemberg,media Akademie - Hochschule Stuttgart (FH),Private,www.media-hs.de,media-hs.de,[],False
168,Baden-Württemberg,Allensbach Hochschule Konstanz (FH),Private,www.allensbach-hochschule.de,allensbach-hochschule.de,[],False
